"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-01-01T06:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T06:00+0100","Zch_Schimmelstrasse","T","h1","°C",-4.67,"provisorisch"
"2026-01-01T06:00+0100","Zch_Schimmelstrasse","WD","h1","°",350.08,"provisorisch"
"2026-01-01T06:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.41,"provisorisch"
"2026-01-01T06:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.19,"provisorisch"
"2026-01-01T06:00+0100","Zch_Schimmelstrasse","p","h1","hPa",968.76,"provisorisch"
"2026-01-01T06:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",79.25,"provisorisch"
"2026-01-01T06:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T06:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.01,"provisorisch"
"2026-01-01T06:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-4.92,"provisorisch"
"2026-01-01T06:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",259.96,"provisorisch"
"2026-01-01T06:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.55,"provisorisch"
"2026-01-01T06:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.43,"provisorisch"
"2026-01-01T06:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",965.87,"provisorisch"
"2026-01-01T07:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.98,"provisorisch"
"2026-01-01T07:00+0100","Zch_Heubeeribüel","T","h1","°C",-5.79,"provisorisch"
"2026-01-01T07:00+0100","Zch_Heubeeribüel","p","h1","hPa",944.42,"provisorisch"
"2026-01-01T07:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",83.82,"provisorisch"
"2026-01-01T07:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T07:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-5.85,"provisorisch"
"2026-01-01T07:00+0100","Zch_Rosengartenstrasse","WD","h1","°",216.59,"provisorisch"
"2026-01-01T07:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.32,"provisorisch"
"2026-01-01T07:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.17,"provisorisch"
"2026-01-01T07:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",965.67,"provisorisch"
"2026-01-01T07:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",78.4,"provisorisch"
"2026-01-01T07:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T07:00+0100","Zch_Schimmelstrasse","T","h1","°C",-4.48,"provisorisch"
"2026-01-01T07:00+0100","Zch_Schimmelstrasse","WD","h1","°",315.55,"provisorisch"
"2026-01-01T07:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.57,"provisorisch"
"2026-01-01T07:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.2,"provisorisch"
"2026-01-01T07:00+0100","Zch_Schimmelstrasse","p","h1","hPa",968.43,"provisorisch"
"2026-01-01T07:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",78.1,"provisorisch"
"2026-01-01T07:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T07:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.01,"provisorisch"
"2026-01-01T07:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-5.02,"provisorisch"
"2026-01-01T07:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",275.96,"provisorisch"
"2026-01-01T07:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.78,"provisorisch"
"2026-01-01T07:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.68,"provisorisch"
"2026-01-01T07:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",965.48,"provisorisch"
